start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijrichting;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-06-19 00:07:00;2019-06-19 00:08:00;1;180;123;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:07:00;2019-06-19 00:08:00;1;360;119;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:07:00;2019-06-19 00:08:00;1;240;103;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:07:00;2019-06-19 00:08:00;1;240;84;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:07:00;2019-06-19 00:08:00;1;120;116;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:08:00;2019-06-19 00:09:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:08:00;2019-06-19 00:09:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:08:00;2019-06-19 00:09:00;1;240;120;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:08:00;2019-06-19 00:09:00;1;120;105;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:08:00;2019-06-19 00:09:00;1;300;102;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:08:00;2019-06-19 00:09:00;1;60;101;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:09:00;2019-06-19 00:10:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:09:00;2019-06-19 00:10:00;1;60;118;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:09:00;2019-06-19 00:10:00;1;240;122;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:09:00;2019-06-19 00:10:00;1;300;117;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:09:00;2019-06-19 00:10:00;1;240;88;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:09:00;2019-06-19 00:10:00;1;180;87;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:10:00;2019-06-19 00:11:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:10:00;2019-06-19 00:11:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:10:00;2019-06-19 00:11:00;1;60;98;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:10:00;2019-06-19 00:11:00;1;300;121;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:10:00;2019-06-19 00:11:00;1;300;108;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:10:00;2019-06-19 00:11:00;1;120;81;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:11:00;2019-06-19 00:12:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:11:00;2019-06-19 00:12:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:11:00;2019-06-19 00:12:00;1;120;128;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:11:00;2019-06-19 00:12:00;1;60;127;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:11:00;2019-06-19 00:12:00;1;360;95;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:11:00;2019-06-19 00:12:00;1;60;91;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:12:00;2019-06-19 00:13:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:12:00;2019-06-19 00:13:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:12:00;2019-06-19 00:13:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:12:00;2019-06-19 00:13:00;1;420;120;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:12:00;2019-06-19 00:13:00;1;420;106;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:12:00;2019-06-19 00:13:00;1;60;132;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
