start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-11-26 00:00:00;2019-11-26 00:01:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:00:00;2019-11-26 00:01:00;1;0;-1;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:00:00;2019-11-26 00:01:00;1;240;111;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:01:00;2019-11-26 00:02:00;1;60;169;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:01:00;2019-11-26 00:02:00;1;120;104;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:01:00;2019-11-26 00:02:00;1;360;109;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:02:00;2019-11-26 00:03:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:02:00;2019-11-26 00:03:00;1;60;117;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:02:00;2019-11-26 00:03:00;1;240;111;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:03:00;2019-11-26 00:04:00;1;60;157;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:03:00;2019-11-26 00:04:00;1;180;123;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:03:00;2019-11-26 00:04:00;1;300;104;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:04:00;2019-11-26 00:05:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:04:00;2019-11-26 00:05:00;1;0;-1;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:04:00;2019-11-26 00:05:00;1;60;105;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:05:00;2019-11-26 00:06:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:05:00;2019-11-26 00:06:00;1;60;132;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:05:00;2019-11-26 00:06:00;1;240;112;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:06:00;2019-11-26 00:07:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
2019-11-26 00:06:00;2019-11-26 00:07:00;1;60;103;0201hrr0395ra;3;lane2;51.96308;4.58063
2019-11-26 00:06:00;2019-11-26 00:07:00;1;240;113;0201hrr0395ra;3;lane3;51.96308;4.58063
2019-11-26 00:07:00;2019-11-26 00:08:00;1;0;-1;0201hrr0395ra;3;lane1;51.96308;4.58063
