start_meetperiode,eind_meetperiode,gebruikte_minuten_intensiteit,gem_intensiteit,gem_snelheid,naam_meetlocatie_mst,afstand_tot_vild_locatie
2022-06-20 00:20:00,2022-06-20 00:21:00,1,60,120,0131hrr0099ra,1100
2022-06-20 00:20:00,2022-06-20 00:21:00,1,360,110,0131hrr0099ra,1100
2022-06-20 00:20:00,2022-06-20 00:21:00,1,180,90,0131hrr0099ra,1100
2022-06-20 00:21:00,2022-06-20 00:22:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:21:00,2022-06-20 00:22:00,1,180,124,0131hrr0099ra,1100
2022-06-20 00:21:00,2022-06-20 00:22:00,1,420,98,0131hrr0099ra,1100
2022-06-20 00:22:00,2022-06-20 00:23:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:22:00,2022-06-20 00:23:00,1,180,110,0131hrr0099ra,1100
2022-06-20 00:22:00,2022-06-20 00:23:00,1,180,100,0131hrr0099ra,1100
2022-06-20 00:23:00,2022-06-20 00:24:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:23:00,2022-06-20 00:24:00,1,240,108,0131hrr0099ra,1100
2022-06-20 00:23:00,2022-06-20 00:24:00,1,360,108,0131hrr0099ra,1100
2022-06-20 00:24:00,2022-06-20 00:25:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:24:00,2022-06-20 00:25:00,1,180,114,0131hrr0099ra,1100
2022-06-20 00:24:00,2022-06-20 00:25:00,1,300,97,0131hrr0099ra,1100
2022-06-20 00:25:00,2022-06-20 00:26:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:25:00,2022-06-20 00:26:00,1,60,108,0131hrr0099ra,1100
2022-06-20 00:25:00,2022-06-20 00:26:00,1,300,95,0131hrr0099ra,1100
2022-06-20 00:26:00,2022-06-20 00:27:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:26:00,2022-06-20 00:27:00,1,120,111,0131hrr0099ra,1100
2022-06-20 00:26:00,2022-06-20 00:27:00,1,420,105,0131hrr0099ra,1100
2022-06-20 00:27:00,2022-06-20 00:28:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:27:00,2022-06-20 00:28:00,1,120,109,0131hrr0099ra,1100
2022-06-20 00:27:00,2022-06-20 00:28:00,1,360,100,0131hrr0099ra,1100
2022-06-20 00:28:00,2022-06-20 00:29:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:28:00,2022-06-20 00:29:00,1,300,120,0131hrr0099ra,1100
2022-06-20 00:28:00,2022-06-20 00:29:00,1,480,104,0131hrr0099ra,1100
2022-06-20 00:29:00,2022-06-20 00:30:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:29:00,2022-06-20 00:30:00,1,180,105,0131hrr0099ra,1100
2022-06-20 00:29:00,2022-06-20 00:30:00,1,360,109,0131hrr0099ra,1100
2022-06-20 00:30:00,2022-06-20 00:31:00,1,60,114,0131hrr0099ra,1100
2022-06-20 00:30:00,2022-06-20 00:31:00,1,300,111,0131hrr0099ra,1100
2022-06-20 00:30:00,2022-06-20 00:31:00,1,300,97,0131hrr0099ra,1100
2022-06-20 00:31:00,2022-06-20 00:32:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:31:00,2022-06-20 00:32:00,1,120,117,0131hrr0099ra,1100
2022-06-20 00:31:00,2022-06-20 00:32:00,1,120,99,0131hrr0099ra,1100
2022-06-20 00:32:00,2022-06-20 00:33:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:32:00,2022-06-20 00:33:00,1,60,143,0131hrr0099ra,1100
2022-06-20 00:32:00,2022-06-20 00:33:00,1,240,95,0131hrr0099ra,1100
2022-06-20 00:33:00,2022-06-20 00:34:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:33:00,2022-06-20 00:34:00,1,180,115,0131hrr0099ra,1100
2022-06-20 00:33:00,2022-06-20 00:34:00,1,300,112,0131hrr0099ra,1100
2022-06-20 00:34:00,2022-06-20 00:35:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:34:00,2022-06-20 00:35:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:34:00,2022-06-20 00:35:00,1,300,90,0131hrr0099ra,1100
2022-06-20 00:35:00,2022-06-20 00:36:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:35:00,2022-06-20 00:36:00,1,240,107,0131hrr0099ra,1100
2022-06-20 00:35:00,2022-06-20 00:36:00,1,420,95,0131hrr0099ra,1100
2022-06-20 00:36:00,2022-06-20 00:37:00,1,120,138,0131hrr0099ra,1100
2022-06-20 00:36:00,2022-06-20 00:37:00,1,300,114,0131hrr0099ra,1100
2022-06-20 00:36:00,2022-06-20 00:37:00,1,480,97,0131hrr0099ra,1100
2022-06-20 00:37:00,2022-06-20 00:38:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:37:00,2022-06-20 00:38:00,1,360,122,0131hrr0099ra,1100
2022-06-20 00:37:00,2022-06-20 00:38:00,1,240,90,0131hrr0099ra,1100
2022-06-20 00:38:00,2022-06-20 00:39:00,1,60,188,0131hrr0099ra,1100
2022-06-20 00:38:00,2022-06-20 00:39:00,1,240,133,0131hrr0099ra,1100
2022-06-20 00:38:00,2022-06-20 00:39:00,1,240,119,0131hrr0099ra,1100
2022-06-20 00:39:00,2022-06-20 00:40:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:39:00,2022-06-20 00:40:00,1,60,113,0131hrr0099ra,1100
2022-06-20 00:39:00,2022-06-20 00:40:00,1,180,104,0131hrr0099ra,1100
2022-06-20 00:40:00,2022-06-20 00:41:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:40:00,2022-06-20 00:41:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:40:00,2022-06-20 00:41:00,1,240,102,0131hrr0099ra,1100
2022-06-20 00:41:00,2022-06-20 00:42:00,1,0,-1,0131hrr0099ra,1100
2022-06-20 00:41:00,2022-06-20 00:42:00,1,60,129,0131hrr0099ra,1100
2022-06-20 00:41:00,2022-06-20 00:42:00,1,180,101,0131hrr0099ra,1100
2022-06-20 00:42:00,2022-06-20 00:43:00,1,0,-1,0131hrr0099ra,1100
