start_meetperiode,eind_meetperiode,gebruikte_minuten_intensiteit,gem_intensiteit,gem_snelheid,naam_meetlocatie_mst,afstand_tot_vild_locatie
2019-10-15 05:30:00,2019-10-15 05:45:00,15,32,121,44,0131hrr0132ra,2700
2019-10-15 05:30:00,2019-10-15 05:45:00,15,384,115,27,0131hrr0132ra,2700
2019-10-15 05:30:00,2019-10-15 05:45:00,15,640,98,48,0131hrr0132ra,2700
2019-10-15 05:45:00,2019-10-15 06:00:00,15,132,122,95,0131hrr0132ra,2700
2019-10-15 05:45:00,2019-10-15 06:00:00,15,552,110,26,0131hrr0132ra,2700
2019-10-15 05:45:00,2019-10-15 06:00:00,15,664,96,86,0131hrr0132ra,2700
2019-10-15 06:00:00,2019-10-15 06:15:00,15,240,117,79,0131hrr0132ra,2700
2019-10-15 06:00:00,2019-10-15 06:15:00,15,864,107,22,0131hrr0132ra,2700
2019-10-15 06:00:00,2019-10-15 06:15:00,15,872,94,31,0131hrr0132ra,2700
2019-10-15 06:15:00,2019-10-15 06:30:00,15,404,119,39,0131hrr0132ra,2700
2019-10-15 06:15:00,2019-10-15 06:30:00,15,1176,107,57,0131hrr0132ra,2700
2019-10-15 06:15:00,2019-10-15 06:30:00,15,956,95,83,0131hrr0132ra,2700
2019-10-15 06:30:00,2019-10-15 06:45:00,15,924,116,01,0131hrr0132ra,2700
2019-10-15 06:30:00,2019-10-15 06:45:00,15,1580,103,54,0131hrr0132ra,2700
2019-10-15 06:30:00,2019-10-15 06:45:00,15,1116,92,16,0131hrr0132ra,2700
2019-10-15 06:45:00,2019-10-15 07:00:00,15,1216,115,19,0131hrr0132ra,2700
2019-10-15 06:45:00,2019-10-15 07:00:00,15,1740,103,26,0131hrr0132ra,2700
2019-10-15 06:45:00,2019-10-15 07:00:00,15,1152,93,39,0131hrr0132ra,2700
2019-10-15 07:00:00,2019-10-15 07:15:00,15,1476,110,18,0131hrr0132ra,2700
2019-10-15 07:00:00,2019-10-15 07:15:00,15,2044,100,92,0131hrr0132ra,2700
2019-10-15 07:00:00,2019-10-15 07:15:00,15,1172,92,13,0131hrr0132ra,2700
2019-10-15 07:15:00,2019-10-15 07:30:00,15,1484,110,44,0131hrr0132ra,2700
2019-10-15 07:15:00,2019-10-15 07:30:00,15,2008,100,85,0131hrr0132ra,2700
2019-10-15 07:15:00,2019-10-15 07:30:00,15,1272,92,47,0131hrr0132ra,2700
2019-10-15 07:30:00,2019-10-15 07:45:00,15,1988,106,51,0131hrr0132ra,2700
2019-10-15 07:30:00,2019-10-15 07:45:00,15,2384,98,56,0131hrr0132ra,2700
2019-10-15 07:30:00,2019-10-15 07:45:00,15,1448,88,73,0131hrr0132ra,2700
2019-10-15 07:45:00,2019-10-15 08:00:00,15,2104,104,54,0131hrr0132ra,2700
2019-10-15 07:45:00,2019-10-15 08:00:00,15,2492,97,55,0131hrr0132ra,2700
2019-10-15 07:45:00,2019-10-15 08:00:00,15,1384,88,73,0131hrr0132ra,2700
2019-10-15 08:00:00,2019-10-15 08:15:00,15,1880,105,27,0131hrr0132ra,2700
2019-10-15 08:00:00,2019-10-15 08:15:00,15,2188,98,81,0131hrr0132ra,2700
2019-10-15 08:00:00,2019-10-15 08:15:00,15,1340,90,08,0131hrr0132ra,2700
